date,geography,geography code,Number of rooms (VOA): Total: All households,Number of rooms (VOA): 1 room,Number of rooms (VOA): 2 rooms,Number of rooms (VOA): 3 rooms,Number of rooms (VOA): 4 rooms,Number of rooms (VOA): 5 rooms,Number of rooms (VOA): 6 rooms,Number of rooms (VOA): 7 rooms,Number of rooms (VOA): 8 rooms,Number of rooms (VOA): 9 or more rooms
2021,South Somerset,E07000189,75936,247,5892,16278,23208,16086,7910,3686,1441,1188
2021,Cannock Chase,E07000192,43457,112,4040,8925,15193,9839,3837,1171,232,108
2021,East Staffordshire,E07000193,51293,187,3271,9749,14552,14520,5429,2344,708,533
2021,Lichfield,E07000194,45630,155,2732,8753,13610,10917,5335,2486,985,657
2021,Newcastle-under-Lyme,E07000195,53422,207,3820,9403,18616,14177,4201,1911,718,369
2021,South Staffordshire,E07000196,46121,103,2200,9587,12917,11922,5851,2226,835,480
2021,Stafford,E07000197,60049,210,4267,10733,16069,16426,7876,2802,1022,644
2021,Staffordshire Moorlands,E07000198,42355,46,2089,8285,14317,10395,4346,1806,626,445
2021,Tamworth,E07000199,32895,104,2314,6230,13282,6404,3525,853,146,37
2021,Babergh,E07000200,40200,131,2280,7952,12813,7728,5019,2437,969,871
2021,Ipswich,E07000202,59503,775,6808,10974,15934,19430,3342,1317,523,400
2021,Mid Suffolk,E07000203,44342,94,2493,9360,12839,8489,5751,3142,1239,935
2021,Elmbridge,E07000207,55590,337,5418,10813,9548,12292,6774,4238,2791,3379
2021,Epsom and Ewell,E07000208,31321,283,2610,6582,5718,9330,3862,1836,704,396
2021,Guildford,E07000209,55761,582,5658,10351,13051,13393,5926,3386,1686,1728
2021,Mole Valley,E07000210,37142,718,3826,7203,7772,7656,4615,2552,1485,1315
2021,Reigate and Banstead,E07000211,59849,545,5583,13602,12247,15155,6308,3179,1699,1531
2021,Runnymede,E07000212,34838,319,4509,7657,7915,8028,3232,1677,743,758
2021,Spelthorne,E07000213,41804,462,4891,9677,11715,9428,3441,1400,526,264
2021,Surrey Heath,E07000214,36008,200,2745,5784,8194,7527,5157,3685,1618,1098
2021,Tandridge,E07000215,35627,255,2970,7900,7478,7864,4030,2351,1440,1339
2021,Waverley,E07000216,52448,284,5010,9481,11790,11435,6435,3939,1989,2085
2021,Woking,E07000217,41437,641,4630,8562,9566,8516,4186,2575,1473,1288
2021,North Warwickshire,E07000218,27580,71,1668,5505,9851,6983,2267,712,298,225
2021,Nuneaton and Bedworth,E07000219,56586,361,3676,11930,20416,14074,4501,1181,313,134
2021,Rugby,E07000220,47011,120,3203,9441,13595,11982,4952,2348,844,526
2021,Stratford-on-Avon,E07000221,59464,137,3539,13735,16476,12032,7095,3518,1681,1251
2021,Warwick,E07000222,62619,648,5029,15392,15585,13705,6700,3050,1501,1009
2021,Adur,E07000223,27680,422,2454,7950,8510,5914,1649,528,153,100
2021,Arun,E07000224,72661,953,7045,19866,22406,12429,5857,2405,963,737
2021,Chichester,E07000225,54118,365,4401,12817,15186,10206,5210,3007,1488,1438
2021,Crawley,E07000226,45502,733,5365,9967,12012,12448,3462,1090,294,131
2021,Horsham,E07000227,62370,837,5321,13568,16579,12237,6737,3840,1892,1359
2021,Mid Sussex,E07000228,63349,626,5716,13306,17247,12791,7144,3789,1533,1197
2021,Worthing,E07000229,49536,1536,6805,13122,11756,10433,3559,1366,570,389
2021,Bromsgrove,E07000234,41264,130,2721,6783,11755,10181,5564,2341,1032,757
2021,Malvern Hills,E07000235,34890,162,2723,7035,8648,7768,4361,2244,991,958
2021,Redditch,E07000236,36375,466,3543,6513,11775,8365,3817,1347,389,160
2021,Worcester,E07000237,44723,612,4920,9305,13589,9879,4144,1525,478,271
2021,Wychavon,E07000238,57356,191,4891,11900,15466,11070,7609,3688,1577,964
2021,Wyre Forest,E07000239,45321,378,4130,9570,14435,10410,4010,1404,567,417
2021,St Albans,E07000240,58988,426,5925,12594,12532,14502,6805,3527,1524,1153
2021,Welwyn Hatfield,E07000241,46210,608,5420,9417,13607,9987,3967,1834,764,606
2021,East Hertfordshire,E07000242,62020,187,6504,14094,15537,12486,6663,3748,1626,1175
2021,Stevenage,E07000243,36509,811,4814,7708,10685,8370,2857,922,236,106
2021,East Suffolk,E07000244,110746,588,7889,22344,31783,25866,12246,5575,2474,1981
2021,West Suffolk,E07000245,78745,420,5908,18936,24570,15130,7814,3543,1420,1004
2021,Somerset West and Taunton,E07000246,69984,299,6058,15979,18594,15766,6830,3712,1426,1320
2021,Bolton,E08000001,118792,443,9678,37065,38995,19612,8365,2974,975,685
2021,Bury,E08000002,80694,362,6311,22676,22841,18240,6886,2179,745,454
